company,rating,tot_rating,address,service,tel,website
Enviro Clean Group,4.3,27,,Carpet cleaning service,0800 023 6191,https://www.envirobinclean.com/
S M Cleaning Specialists,5,8,,Carpet cleaning service,01252 513029,http://www.smcleaningspecialists.co.uk/
Carpet Valentine Cleaning Services,5,14,,Carpet cleaning service,07760 758503,
Elite Floorcare,5,96,,Carpet cleaning service,01698 609009,http://www.elite-floorcare.co.uk/
Cleaning Doctor Carpet & Upholstery Services Edinburgh,5,86,171/5 Redford Rd,Carpet cleaning service,0131 454 0062,http://cleaningdoctor.net/edinburgh
Clarks Carpet Care - Carpet Cleaners Edinburgh,5,147,64A Cumberland St,Carpet cleaning service,07450 960620,https://clarkscarpetcare.co.uk/
"Cleaning Doctor Carpet, Upholstery & Tile Cleaning Services South Lanarkshire",5,36,,Carpet cleaning service,07464 851700,https://cleaningdoctor.net/southlanarkshire/
Bone - Dry Carpet Cleaning,5,5,,Carpet cleaning service,01474 745995,https://dry-carpet-cleaning.co.uk/our-operators/carpet-cleaning-gravesend/
AMDE Carpet Cleaning Edinburgh,4.9,149,2 Wharton Square Flat 29,Carpet cleaning service,07557 553603,https://www.amdecarpetcleaning.co.uk/
Aquarinse carpet cleaning Edinburgh,4.9,428,,Carpet cleaning service,Open 24 hours,http://www.carpetcleaninginedinburgh.co.uk/
Little Duck Cleaning Services,4.8,53,"Unit 2, Site, 11 Alanbrooke Rd",Carpet cleaning service,01228 672367,http://www.littleduckcleaning.co.uk/
Wall2WallCarpetCleaner,5,80,Glaramara Dr,Carpet cleaning service,07854 148304,http://wall2wallcarpetcleaner.co.uk/
Pure-clean Carpet & Upholstery Cleaning,5,141,1 Rufus Rd,Carpet cleaning service,01228 248065,https://trade.purecleanuk.uk/carpet-cleaning/carlisle/
ALS Carpet & Upholstery Cleaning Ltd,4.8,187,"Workspace 3.1, 1 Fullarton Rd",Carpet cleaning service,0141 374 2919,https://alscarpetcleaningservices.co.uk/
Oxy-Clean Carpet and Upholstery Cleaning,5,78,,Carpet cleaning service,07738 194695,https://www.oxy-clean.co.uk/
Aquatec Cleaning Group,4.9,23,91 Bankton Brae,Carpet cleaning service,01506 536990,https://www.aquateccarpetcleaning.co.uk/
Aqua Clean,5,3,,Carpet cleaning service,017683 41929,http://aquacleancumbria.co.uk/
O'Neill Carpet Cleaning,5,74,21 Claremont Rd,Carpet cleaning service,07852 357614,https://www.oneillcarpetcleaning.com/
I Care Cleaning Services (Carpet Cleaning Glasgow | Motherwell | Paisley),4.9,323,"1/1, 1687 Dumbarton Rd",Carpet cleaning service,07495 027182,https://www.icarecleaningservices.co.uk/
"Cleaning Doctor, Carpet & Upholstery Services, Glasgow South & East Renfrewshire",5,145,783 Clarkston Rd,Carpet cleaning service,07936 901000,https://cleaningdoctor.net/glasgow-south/
Ewe Clean,5,43,41 Atholl Pl,Carpet cleaning service,07846 544666,http://www.eweclean.com/
Glasgow Cleaning Specialists,4.6,55,355 Lincoln Ave,Carpet cleaning service,07543 203536,https://www.glasgowcleaningspecialists.co.uk/
Chemo Clean,5,17,240 Wallace St,Carpet cleaning service,0141 250 7959,
Xtreme Carpet & Upholstery Cleaning,5,39,,Carpet cleaning service,0800 062 2583,http://www.xtremecarpetcleaning.co.uk/
First Carper Cleaning,5,11,57 Port Dundas Rd,Carpet cleaning service,0141 673 3887,
Master of Cleaning Ltd,5,70,,Carpet cleaning service,07564 244871,https://masterofcleaning.co.uk/
Sparkling Oven and Carpet Cleaning,5,37,Craig St,Carpet cleaning service,07368 537931,http://www.sparklingoven.com/book-online
Rug Cleaner Scotland,5,7,"UNIT 2, 106 Barloch St",Carpet cleaning service,07500 149433,https://www.rugcleanerscotland.co.uk/
Prestige Cleaning & Maintenance Services,5,14,40 Scotstoun St,Carpet cleaning service,0141 950 6666,http://www.prestige-glasgow.co.uk/
BuZy Bees Cleaning Services,4.7,49,41 Minerva Way,Carpet cleaning service,07598 046576,http://www.buzybeescleaning.co.uk/
Mrs Darcy's Carpet Cleaning,5,6,"21, 126 W Regent St",Carpet cleaning service,07516 106293,
Dryfast Cleaning,4.6,19,6A Montgomery Ave,Carpet cleaning service,Closed ⋅ Opens 12 pm,https://www.dryfastcleaning.co.uk/
Back 2 New Carpet Cleaning Services Glasgow,5,6,48 W George St,Carpet cleaning service,07424 392205,https://sites.google.com/view/back2newcarpetcleaning/home?fbclid=PAAaYStix77FniFQLvsMGtVcYlrGNwlFFPPuL27wT9BFIMC30g97iWUmUKVvg_aem_AexlIf2ZUs90CUBI7BuH666PZKpL2nuxyyAz_W9BuU35RFHuIAAaFEJPo1xgnsfPAao
CleanMaster Carpet Cleaning and Restoration,4.4,7,Woodilee Industrial Estate,Carpet cleaning service,0141 280 8888,http://www.cleanmasteruk.com/
Response cleaning services,5,12,32 Arran Dr,Carpet cleaning service,07508 532959,
Cleanifiq.com Secure booking Platform for Local Cleaners,4.9,52,1119 Cathcart Rd,Carpet cleaning service,0141 488 0088,https://cleanifiq.com/
Dublcheck Cleaning Services - Glasgow,5,41,"1-2, 41 Vicarfield St",Commercial cleaning service,0141 370 0504,https://dublcheck-cleaning-services.business.site/?m=true
Heather Carpet Cleaning,4.4,28,9 Ballengeich Rd,Carpet cleaning service,01786 811117,https://heathercarpetcleaning.co.uk/
Eclipse Deep Clean,5,23,26 Dalriada Rd,Carpet cleaning service,01475 793193,https://eclipsecarpetcleaning.co.uk/
The Dumbarton Carpet Cleaner,4.7,14,4 Talisman Ave,Carpet cleaning service,07833 328573,
Stewarts Cleaning Solutions,4.8,16,6 Balloch Rd,Carpet cleaning service,07464 715350,
Rb Professional Carpet & Upholstery Cleaners,5,6,197 Kingsway,Carpet cleaning service,07847 328903,
Ocean Cleaning,4.5,38,48 W George St,Carpet cleaning service,0141 345 2448,http://www.oceancleaninguk.com/
1 stChoice Chem-Dry,5,6,41 Back Sneddon St,Carpet cleaning service,0141 848 9634,
EST End of Tenancy Specialized Team,5,164,"Blue square, 272 Bath St",Carpet cleaning service,07825 509519,
Falkirk Cleaning Services.,5,13,,Carpet cleaning service,01324 877562,http://falkirkcleaningservices.co.uk/
BKleen Limited,4.6,7,2 Wards Cres,Carpet cleaning service,01236 600520,https://www.bkleen.net/
Fresh Cleaning Solutions,4.9,8,55 Roughcraig St,Carpet cleaning service,07824 617693,https://fresh-cleaning.uk/
IMPACT Carpet Cleaning and Upholstery Cleaning,4.6,25,55 Main St,Carpet cleaning service,01383 725406,http://www.impact-c-s.com/
Zero Dry Time Cumbernauld,4.6,5,65 Craigend Rd,Carpet cleaning service,01236 800130,http://www.zerodrytime.com/carpet-cleaner-cumbernauld-W21page-73-
iCleanFloorcare Carpet & Floor Cleaners,5,12,,Carpet cleaning service,01501 511050,https://icleanfloorcare.co.uk/
Proclean Glasgow,4,37,"McCormick House, 50 Darnley St",House cleaning service,0141 433 4351,http://proclean-glasgow.com/
Pure Cleaning (Scotland) Ltd,3.9,10,272 Bath St,Carpet cleaning service,0141 354 1616,https://purecleaningscotland.co.uk/?utm_source=google&utm_medium=organic&utm_term=gmbg
Heather Carpet Cleaning,4.9,10,,Carpet cleaning service,01786 811117,http://heathercarpetcleaning.co.uk/
Eco Pro Cleaning Services,5,8,E Hamilton St,Carpet cleaning service,07943 525777,
Premier Carpet & Upholstery Cleaning,4.8,10,Church St,Carpet cleaning service,01324 556333,http://www.carpetcleaning-falkirk.co.uk/
MCS cleaning services,5,5,8G Balloch View,Carpet cleaning service,01236 612925,http://www.mcscarpetcleaning.co.uk/
Quick Tick Ltd,5,7,15 Salkeld St,Carpet cleaning service,07848 993569,http://quicktick.co.uk/
RB Clean Services LTD,5,41,"suite 2, 3 48 W George St",Commercial cleaning service,0141 459 0406,https://www.rbcleaning.co.uk/
D - C Cleaning Services,5,4,35 Arduthie Rd,Carpet cleaning service,07375 427674,https://d-c-cleaning-services-house-cleaning-service.business.site/?utm_source=gmb&utm_medium=referral
R. A. B. Steam Cleaning,5,5,425 Hamilton Rd,Cleaning service,07494 646565,
We Clean Offices,4.7,13,"2nd Floor, Clyde Offices, 48 W George St",Carpet cleaning service,0141 673 3027,https://wecleanoffices.co.uk/?utm_source=GMB&utm_medium=Organic&utm_campaign=West-George-St
Deepserve cleaning solutions,4.7,12,,Carpet cleaning service,07477 819739,http://www.deepserve.co.uk/
Advanced Cleaning Services Glasgow,4.8,163,,House cleaning service,07707 326132,http://www.cleaninglasgow.com/
Paisley Carpet Cleaning,4.7,3,,Carpet cleaning service,0141 769 0287,https://paisleycarpetcleaning.com/
Carpet Cleaning Glasgow,5,3,83 Campsie Rd,Carpet cleaning service,07770 115080,http://www.carpetcleanglasgow.co.uk/
Pure Dry Scotland,5,3,"1/2, 4 Greenlaw Rd",Carpet cleaning service,0141 340 9040,
SouthSide Carpet Cleaning Glasgow,4.7,3,,Carpet cleaning service,0141 769 0068,http://carpetcleanupglasgow.co.uk/
Aquatec Cleaning Group,4.9,7,3 Manse Gardens,Carpet cleaning service,01563 524515,https://www.aquateccarpetcleaning.co.uk/
"Zero Dry Time Carpet Cleaning Motherwell, Hamilton & East Kilbride",5,2,,Carpet cleaning service,01698 902019,https://www.drycarpetandupholsterycleaning.co.uk/carpet-cleaning-in-motherwell-hamilton-falkirk/
A B C Carpet Clean,5,3,16 Mount Harriet Dr,Carpet cleaning service,0141 779 9518,
Rug Doctor,3.3,6,1 Merkland Ct,Carpet cleaning service,01903 235558,https://morrisons.rugdoctor.co.uk/findarugdoctor/flow/storepicker/storecode/601470
McMillan's Chem Dry,5,2,44 Moorfoot Way,Carpet cleaning service,0141 943 2305,http://mcmillanschemdry.co.uk/
GlasgowCarpetCleaningSpecialists,5,2,65 Old Castle Rd,Carpet cleaning service,07342 103775,http://www.glasgowcarpetcleaningspecialists.com/
Caldwell Cleaning Services,4.5,10,"Unit 96B, Murray Business Park, Murray St",Commercial cleaning service,0141 887 1533,http://caldwellcleaningservices.co.uk/
Aquarius Cleaning,5,4,,Carpet cleaning service,0141 777 7949,
Absolutely Clean Restoration Ltd,5,2,,Carpet cleaning service,0800 458 4901,http://www.absolutelycleanglasgow.co.uk/
Gleniffer Carpet & Upholstery,5,3,,Carpet cleaning service,07843 274867,https://gleniffercarpetcleaning.co.uk/
JM Premier Cleaning Services Glasgow,5,4,,Carpet cleaning service,07432 668751,http://www.jmpremiercleaningservices.co.uk/
M & C Cleaning Service,4,4,Kennoway Dr,Cleaning service,07511 773990,
Excellence Carpet Cleaning Glasgow,3,1,"Rothesay House, 5 Parsonage Square",Carpet cleaning service,0141 280 9989,
Wee Cleaners,5,1,Glenkirk Dr,Carpet cleaning service,Open 24 hours,https://wee-cleaners.business.site/?utm_source=gmb&utm_medium=referral
Dri-NOW Greater Glasgow,5,2,,Carpet cleaning service,07496 816251,https://dri-now.co.uk/carpet-cleaning-glasgow/
Squeeky Clean,5,1,50 Milverton Ave,Carpet cleaning service,0141 942 8875,http://squeakyclean.me/
Davenport Cleaning Services,5,2,11 Cross Rd,Carpet cleaning service,0141 848 0512,http://www.davenportcleaningservices.co.uk/
Zest Carpet And Upholstery Cleaning,5,1,150 Kestrel Rd,Carpet cleaning service,07870 626474,
McNeil Cleaning Solutions Ltd,4,3,272 Bath St,Carpet cleaning service,0141 354 8859,
Little-Persia,5,8,11 Commerce St,Carpet cleaning service,0141 420 6989,https://www.little-persia.com/
PDee Carpet Cleaning Services,5,1,,Carpet cleaning service,07835 339979,
Glo-chem Total Cleaning Services,5,3,115 Kirkton Ave,Carpet cleaning service,07773 875581,https://www.facebook.com/glochemuk/?locale=en_GB
The Carpet Cleaner Glasgow,,,,Carpet cleaning service,0141 295 0008,
Eclipse Deep Clean,5,1,"11, Hillington Business Centre Hillington Park, 15 Nasmyth Rd S",Carpet cleaning service,0141 374 2325,http://eclipsedeepclean.co.uk/
Miint Cleaning,4.8,25,,House cleaning service,0141 737 0913,http://miintcleaning.co.uk/
The Scottish Cleaning Company,5,4,,Carpet cleaning service,0141 769 0072,http://scottishcleaning.co.uk/
Platinum carpet care,5,1,,Carpet cleaning service,07515 005003,http://www.platinumcarpet-care.co.uk/
SM Carpet Cleaning,5,2,,Carpet cleaning service,07860 733707,https://www.facebook.com/profile.php?id=100086107369456
Norham Cleaning,5,2,"Suite 220 Claymore House, 145 Kilmarnock Rd",Carpet cleaning service,0141 673 4902,https://norhamcleaning.co.uk/?utm_source=GMB&utm_medium=Organic&utm_campaign=Kilmarnock-Rd
Jedi Cleaning Services,5,1,126 W Regent St,Carpet cleaning service,07596 877251,https://jedicleaningservices.co.uk/
Clean It All,5,1,14 Monkcastle Dr,Carpet cleaning service,0141 770 1952,http://www.cleanitall.info/
Carpet Chem,5,1,"Lennox Court, 18 Stockiemuir Ave",Carpet cleaning service,0141 258 0688,
Chem Clean Direct,,,2 W Regent St,Carpet cleaning service,0141 280 2535,
Blue Dustpan Cleaning Service,5,3,,Carpet cleaning service,Closed ⋅ Opens 9 am,http://blue-dustpan.business.site/
Carpet Cleaner - Premium Clean,5,1,,Carpet cleaning service,07532 719270,http://www.facebook.com/premiumcleanglasgow
Go Cleanuk Ltd,,,272 Bath St,Carpet cleaning service,07469 697000,
mcmillansrugspa,5,1,"Carberry Court, McMillan’s Rug Spa, 2, 28 Queen Elizabeth Ave",Carpet cleaning service,0141 892 6310,http://mcmillansrugspa.co.uk/
Total-Cleaning.com,2.3,3,33 Townsend St,Carpet cleaning service,0300 030 0175,http://www.total-cleaning.com/
Ferrier Cleaning Specialists-Glasgow,,,20 Cairnsmore Dr,Carpet cleaning service,07753 617477,
Calderwood Carpet Cleaning,5,1,Ironstone Rd,Carpet cleaning service,07872 594468,
P Dee Carpet & Upholstery Cleaning,3.7,3,"Roman Buildings, 11 Mansionhouse Rd",Carpet cleaning service,07835 339979,https://p-dee-carpet-upholstery-cleaning.business.site/?utm_source=gmb&utm_medium=referral
John Mitchell Carpet Cleaning,5,3,,Carpet cleaning service,07496 372020,
Ace Cleaning Services,3,2,"The Whisky Bond, 2 Dawson Rd",Carpet cleaning service,0800 994 9029,http://ace-cleaning-services.co.uk/
agenda cleaning services,3,1,"Yorkhill hospital, Dalnair St",Carpet cleaning service,07796 344449,
RJM Rug Cleaning Glasgow,,,,Carpet cleaning service,0141 673 0258,https://rjmcarpetcleaning.co.uk/rug-cleaning-glasgow/
The Dumbarton Carpet & Sofa Cleaner,,,,Carpet cleaning service,07833 328573,
Shine carpet and upholstery cleaning,5,4,13 Seaforth Rd,Carpet cleaning service,07979 752025,https://www.facebook.com/Shine-carpet-and-upholstery-cleaning-107512485055465/
Carpet Cleaning Renfrew,,,45 Hallidale Cres,Carpet cleaning service,07855 788896,
Wee G - Carpet and Upholstery Cleaning,,,,Carpet cleaning service,07889 834889,https://wee-g.business.site/?utm_source=gmb&utm_medium=referral
Pure Dry Scotland,,,28 Crossveggate,Carpet cleaning service,0141 340 9040,
"Cleaning Doctor Carpet & Upholstery Services Ayrshire, Inverclyde and Renfrewshire",3.7,3,,Carpet cleaning service,07936 901000,https://cleaningdoctor.net/ayrshire/
